benchmark_set,structure,schema_version,comparison,left,right,left_success_rate,right_success_rate,delta_success_rate,left_f1,right_f1,delta_f1,shared_questions,right_wins,left_wins,ties,largest_right_gains,largest_left_gains
complex,flat,advanced,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,1.0,0.7222,-0.2778,1.0,0.7222,-0.2778,5,0,2,3,Q105 (-0.5000); Q101 (-0.6667),Q101 (-0.6667); Q105 (-0.5000)
complex,flat,naive,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.6,0.5667,-0.0333,0.6651,0.5667,-0.0984,5,0,2,3,Q105 (-0.0813); Q101 (-0.2439),Q101 (-0.2439); Q105 (-0.0813)
complex,structured,advanced,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.5,0.5611,0.0611,0.5868,0.5611,-0.0257,5,1,2,2,Q102 (+1.0000); Q101 (-0.1167); Q105 (-0.2305),Q105 (-0.2305); Q101 (-0.1167); Q102 (+1.0000)
complex,structured,naive,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.4667,0.4,-0.0667,0.5281,0.5143,-0.0138,5,0,1,4,Q105 (-0.1167),Q105 (-0.1167)
normal,flat,advanced,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.6097,0.7407,0.131,0.7368,0.8404,0.1036,55,15,7,33,Q48 (+1.0000); Q39 (+1.0000); Q28 (+1.0000); Q14 (+1.0000); Q17 (+0.9994),Q30 (-0.9379); Q34 (-0.8823); Q12 (-0.6667); Q45 (-0.3838); Q44 (-0.3333)
normal,flat,naive,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.6188,0.7531,0.1343,0.7689,0.8393,0.0704,55,16,6,33,Q48 (+1.0000); Q36 (+1.0000); Q28 (+1.0000); Q19 (+1.0000); Q54 (+0.9123),Q12 (-1.0000); Q34 (-0.8823); Q30 (-0.6253); Q44 (-0.5926); Q18 (-0.3320)
normal,structured,advanced,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.5,0.6526,0.1526,0.6303,0.7581,0.1278,55,16,5,34,Q48 (+1.0000); Q36 (+1.0000); Q24 (+1.0000); Q17 (+0.9994); Q51 (+0.9409),Q12 (-1.0000); Q44 (-0.5185); Q30 (-0.3126); Q42 (-0.2595); Q19 (-0.0303)
normal,structured,naive,gpt-5-mini minus gpt-4.1-mini,gpt-4.1-mini,gpt-5-mini,0.5501,0.6374,0.0873,0.6769,0.7792,0.1023,55,15,7,33,Q39 (+1.0000); Q36 (+1.0000); Q13 (+1.0000); Q17 (+0.9994); Q20 (+0.6684),Q12 (-1.0000); Q34 (-0.8823); Q44 (-0.8519); Q52 (-0.2857); Q42 (-0.2595)
