benchmark_set,schema_version,model,comparison,left,right,left_success_rate,right_success_rate,delta_success_rate,left_f1,right_f1,delta_f1,shared_questions,right_wins,left_wins,ties,largest_right_gains,largest_left_gains
complex,advanced,gpt-4.1-mini,structured minus flat,flat,structured,1.0,0.5,-0.5,1.0,0.5868,-0.4132,5,0,3,2,Q105 (-0.7695); Q101 (-0.8833); Q102 (-1.0000),Q102 (-1.0000); Q101 (-0.8833); Q105 (-0.7695)
complex,advanced,gpt-5-mini,structured minus flat,flat,structured,0.7222,0.5611,-0.1611,0.7222,0.5611,-0.1611,5,0,2,3,Q101 (-0.3333); Q105 (-0.5000),Q105 (-0.5000); Q101 (-0.3333)
complex,naive,gpt-4.1-mini,structured minus flat,flat,structured,0.6,0.4667,-0.1333,0.6651,0.5281,-0.137,5,1,2,2,Q105 (+0.0354); Q101 (-0.2439); Q102 (-0.4286),Q102 (-0.4286); Q101 (-0.2439); Q105 (+0.0354)
complex,naive,gpt-5-mini,structured minus flat,flat,structured,0.5667,0.4,-0.1667,0.5667,0.5143,-0.0524,5,0,1,4,Q102 (-0.4286),Q102 (-0.4286)
normal,advanced,gpt-4.1-mini,structured minus flat,flat,structured,0.6097,0.5,-0.1097,0.7368,0.6303,-0.1065,55,3,11,41,Q54 (+0.7368); Q55 (+0.3052); Q15 (+0.0802); Q29 (-0.0045); Q50 (-0.2000),Q47 (-1.0000); Q51 (-1.0000); Q34 (-0.8823); Q8 (-0.7079); Q24 (-0.6667)
normal,advanced,gpt-5-mini,structured minus flat,flat,structured,0.7407,0.6526,-0.0881,0.8404,0.7581,-0.0823,55,5,15,35,Q50 (+0.4667); Q45 (+0.3838); Q34 (+0.2941); Q41 (+0.1587); Q36 (+0.0603),Q28 (-1.0000); Q47 (-1.0000); Q8 (-0.7079); Q39 (-0.6667); Q20 (-0.6242)
normal,naive,gpt-4.1-mini,structured minus flat,flat,structured,0.6188,0.5501,-0.0687,0.7689,0.6769,-0.092,55,4,11,40,Q19 (+1.0000); Q48 (+0.6667); Q54 (+0.2496); Q22 (+0.0949); Q26 (-0.0002),Q13 (-1.0000); Q51 (-0.7868); Q20 (-0.6684); Q8 (-0.6679); Q55 (-0.5199)
normal,naive,gpt-5-mini,structured minus flat,flat,structured,0.7531,0.6374,-0.1157,0.8393,0.7792,-0.0601,55,3,12,40,Q30 (+0.6253); Q39 (+0.3333); Q18 (+0.3320); Q26 (-0.0003); Q29 (-0.0048),Q28 (-1.0000); Q50 (-0.7000); Q27 (-0.6913); Q52 (-0.6694); Q51 (-0.5887)
