benchmark_set,schema,model,structure_a,structure_b,success_rate_a,success_rate_b,success_rate_delta,avg_f1_a,avg_f1_b,avg_f1_delta
complex,advanced,gpt-4.1-mini,flat,structured,1,0.5,-0.5,1,0.5868000000000001,-0.4131999999999999
complex,advanced,gpt-5-mini,flat,structured,0.7222333333333334,0.5611,-0.16113333333333335,0.7222333333333334,0.5611,-0.16113333333333335
complex,naive,gpt-4.1-mini,flat,structured,0.6,0.4666666666666666,-0.13333333333333336,0.6650666666666667,0.5281,-0.13696666666666668
complex,naive,gpt-5-mini,flat,structured,0.5666666666666667,0.4000000000000001,-0.16666666666666657,0.5666666666666667,0.5143,-0.05236666666666667
main,advanced,gpt-4.1-mini,flat,structured,0.6096666666666667,0.5,-0.10966666666666669,0.7368,0.6302666666666666,-0.10653333333333337
main,advanced,gpt-5-mini,flat,structured,0.7407333333333334,0.6526333333333333,-0.08810000000000007,0.8403666666666667,0.7581333333333333,-0.08223333333333338
main,naive,gpt-4.1-mini,flat,structured,0.6187999999999999,0.5500666666666666,-0.06873333333333331,0.7689333333333334,0.6769,-0.09203333333333341
main,naive,gpt-5-mini,flat,structured,0.7531,0.6374000000000001,-0.11569999999999991,0.8392666666666666,0.7792,-0.0600666666666666
