benchmark_set,structure,model,schema_a,schema_b,success_rate_a,success_rate_b,success_rate_delta,avg_f1_a,avg_f1_b,avg_f1_delta
complex,flat,gpt-4.1-mini,naive,advanced,0.6,1,0.4,0.6650666666666667,1,0.3349333333333333
complex,flat,gpt-5-mini,naive,advanced,0.5666666666666667,0.7222333333333334,0.15556666666666674,0.5666666666666667,0.7222333333333334,0.15556666666666674
complex,structured,gpt-4.1-mini,naive,advanced,0.4666666666666666,0.5,0.03333333333333338,0.5281,0.5868000000000001,0.058700000000000085
complex,structured,gpt-5-mini,naive,advanced,0.4000000000000001,0.5611,0.16109999999999997,0.5143,0.5611,0.046800000000000064
main,flat,gpt-4.1-mini,naive,advanced,0.6187999999999999,0.6096666666666667,-0.009133333333333216,0.7689333333333334,0.7368,-0.03213333333333335
main,flat,gpt-5-mini,naive,advanced,0.7531,0.7407333333333334,-0.012366666666666637,0.8392666666666666,0.8403666666666667,0.001100000000000101
main,structured,gpt-4.1-mini,naive,advanced,0.5500666666666666,0.5,-0.05006666666666659,0.6769,0.6302666666666666,-0.046633333333333304
main,structured,gpt-5-mini,naive,advanced,0.6374000000000001,0.6526333333333333,0.01523333333333321,0.7792,0.7581333333333333,-0.021066666666666678
