benchmark_set,structure,schema,model_a,model_b,success_rate_a,success_rate_b,success_rate_delta,avg_f1_a,avg_f1_b,avg_f1_delta
complex,flat,advanced,gpt-4.1-mini,gpt-5-mini,1,0.7222333333333334,-0.2777666666666666,1,0.7222333333333334,-0.2777666666666666
complex,flat,naive,gpt-4.1-mini,gpt-5-mini,0.6,0.5666666666666667,-0.033333333333333326,0.6650666666666667,0.5666666666666667,-0.09840000000000004
complex,structured,advanced,gpt-4.1-mini,gpt-5-mini,0.5,0.5611,0.06110000000000004,0.5868000000000001,0.5611,-0.025700000000000056
complex,structured,naive,gpt-4.1-mini,gpt-5-mini,0.4666666666666666,0.4000000000000001,-0.06666666666666654,0.5281,0.5143,-0.013800000000000034
main,flat,advanced,gpt-4.1-mini,gpt-5-mini,0.6096666666666667,0.7407333333333334,0.13106666666666666,0.7368,0.8403666666666667,0.1035666666666667
main,flat,naive,gpt-4.1-mini,gpt-5-mini,0.6187999999999999,0.7531,0.13430000000000009,0.7689333333333334,0.8392666666666666,0.07033333333333325
main,structured,advanced,gpt-4.1-mini,gpt-5-mini,0.5,0.6526333333333333,0.1526333333333333,0.6302666666666666,0.7581333333333333,0.12786666666666668
main,structured,naive,gpt-4.1-mini,gpt-5-mini,0.5500666666666666,0.6374000000000001,0.08733333333333348,0.6769,0.7792,0.10230000000000006
